tweet_id,timestamp,source,text,dog_name,short_urls,dog_stage,dog_score,favorite_count,retweet_count,jpg_url,img_num,dog_breed,confidence,month,day_name
6.660292850026209e+17,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",Tilly,https://t.co/0Xxu71qeIV,,13.0,33819,6514,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,Redbone,0.506826,August,Tuesday
6.660442263298007e+17,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,Darla,https://t.co/tD36da7qLQ,,13.0,42908,8964,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,Rhodesian Ridgeback,0.408143,July,Sunday
6.660518538268508e+17,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",Jax,https://t.co/tVJBRMnhxl,,13.0,12041,2158,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,,0.0,July,Friday
6.66057090499244e+17,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,Zoey,https://t.co/9TwLuAGH0b,,13.0,28226,4429,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,Golden Retriever,0.00795896,July,Thursday
6.660586005241569e+17,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,Cassie,https://t.co/t1bfwz5S2A,doggo,14.0,32467,7711,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,Miniature Poodle,0.201493,July,Wednesday
6.660711932215091e+17,2017-07-25 16:11:53,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,Bruno,https://t.co/u1XPQMl29g,,13.0,28268,5156,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Gordon Setter,0.503672,July,Tuesday
6.66073100786774e+17,2017-07-25 01:55:32,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,,https://t.co/BxvuXk0UCm,puppo,13.0,38818,8538,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,Walker Hound,0.260857,July,Tuesday
6.66099513787052e+17,2017-07-24 00:19:32,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,Oliver,https://t.co/WpHvrQedPb,,13.0,25652,5637,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,Lhasa,0.58233,July,Monday
6.661021559091446e+17,2017-07-23 00:22:39,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,Jim,https://t.co/chxruIOUJN,,12.0,29611,4709,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,English Setter,0.298617,July,Sunday
6.661041332886651e+17,2017-07-22 16:56:37,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,Zeke,https://t.co/HTQ77yNQ5K,,13.0,26080,4559,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1,,0.0,July,Saturday
6.662689108036444e+17,2017-07-22 00:23:06,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,Ralphus,https://t.co/YnYAFCTTiK,,13.0,20290,3732,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,1,,0.0,July,Saturday
6.66273097616638e+17,2017-07-20 16:49:33,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,Gerald,https://t.co/DK7iDPfuRX,,12.0,22201,3653,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,1,Italian Greyhound,0.176053,July,Thursday
6.662874062246953e+17,2017-07-19 16:06:48,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,Jeffrey,https://t.co/PhrUk20Q64,,13.0,30779,5609,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1,Maltese Dog,0.8575309999999999,July,Wednesday
6.662939116321341e+17,2017-07-19 03:39:09,Twitter for iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) ,,https://t.co/20VrLAA8ba,,14.0,46959,12082,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,1,,0.0,July,Wednesday
6.663378823035249e+17,2017-07-19 00:47:34,Twitter for iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,Canela,https://t.co/cLyzpcUcMX,,13.0,69871,18781,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1,Newfoundland,0.278407,July,Wednesday
6.663454175762104e+17,2017-07-18 16:08:03,Twitter for iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) ,,https://t.co/WZqNqygEyV,,13.0,34222,10737,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,1,Golden Retriever,0.8587440000000001,July,Tuesday
6.663962473732915e+17,2017-07-16 20:14:00,Twitter for iPhone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal ,Derek,https://t.co/BCoWue0abA,,13.0,22798,4610,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,1,Chihuahua,0.978108,July,Sunday
6.664071268567654e+17,2017-07-15 23:25:31,Twitter for iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe ,Roscoe,https://t.co/RGE08MIJox,pupper,12.0,21524,3316,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,1,Black-And-Tan Coonhound,0.529139,July,Saturday
6.664187895133266e+17,2017-07-14 22:10:11,Twitter for iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution ,Jimbo,https://t.co/BuveP0uMF1,,12.0,33382,7097,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,1,Toy Terrier,0.14968,July,Friday
6.664211583765627e+17,2017-07-13 15:58:47,Twitter for iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly ,Maisey,https://t.co/tp1kQ8i9JF,,13.0,36689,6683,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,1,Blenheim Spaniel,0.906777,July,Thursday
6.664282763494728e+17,2017-07-13 15:19:09,Twitter for iPhone,I have a new hero and his name is Howard. 14/10 ,,https://t.co/gzLHboL7Sk,,14.0,20788,3899,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,1,Pembroke,0.371361,July,Thursday
